latitude,longitude,acq_date,acq_time,frp,confidence,bright_ti4,bright_ti5,satellite,instrument,daynight
20.76082,85.2962,2026-09-19,716,5.76,n,328.08,294.18,N,VIIRS,D
20.78631,85.26122,2026-09-19,716,6.08,n,328.63,294.54,N,VIIRS,D
20.79428,85.25468,2026-09-19,716,10.3,n,343.01,294.15,N,VIIRS,D
20.88434,84.98519,2026-09-19,716,8.77,n,329.1,293.95,N,VIIRS,D
20.94941,86.04896,2026-09-19,716,6.62,n,338.38,294.56,N,VIIRS,D
20.95019,86.04843,2026-09-19,716,8.66,n,343.04,294.97,N,VIIRS,D
20.96249,85.19122,2026-09-19,716,5.75,n,333.07,294.78,N,VIIRS,D
20.96315,86.007,2026-09-19,716,3.36,n,329.33,292.22,N,VIIRS,D
21.07533,85.03733,2026-09-19,716,7.17,n,334.22,292.94,N,VIIRS,D
21.07825,85.03847,2026-09-19,716,14.23,n,350.45,292.89,N,VIIRS,D
21.07979,85.03632,2026-09-19,716,6.14,n,341.96,290.87,N,VIIRS,D
22.32001,82.5649,2026-09-19,716,3.52,n,327.47,292.39,N,VIIRS,D
22.3206,82.59199,2026-09-19,716,5.85,n,350.27,291.96,N,VIIRS,D
22.32345,82.5928,2026-09-19,716,5.69,n,342.72,291.82,N,VIIRS,D
22.36778,91.37329,2026-09-19,716,3.1,n,337.72,295.81,N,VIIRS,D
22.36836,91.37701,2026-09-19,716,3.1,n,339.05,295.76,N,VIIRS,D
22.37109,91.3727,2026-09-19,716,3.1,n,338.11,295.38,N,VIIRS,D
27.60483,96.284,2026-09-19,716,5.72,n,341.81,295.53,N,VIIRS,D
27.60801,96.281,2026-09-19,716,10.36,n,340.28,295.74,N,VIIRS,D
27.60894,96.28357,2026-09-19,716,6.08,n,340.85,295.14,N,VIIRS,D
27.66253,96.24951,2026-09-19,716,3.6,n,335.94,295.35,N,VIIRS,D
27.74719,96.31156,2026-09-19,716,2.58,n,330.3,295.96,N,VIIRS,D
29.51828,89.06348,2026-09-19,718,4.21,n,336.0,297.75,N,VIIRS,D
32.37519,81.0835,2026-09-19,718,6.35,n,341.12,300.98,N,VIIRS,D
7.95494,81.16589,2026-09-19,852,4.37,n,328.3,289.04,N,VIIRS,D
8.5822,78.07184,2026-09-19,852,2.12,n,338.98,293.08,N,VIIRS,D
9.87499,78.16687,2026-09-19,852,2.38,n,335.92,288.81,N,VIIRS,D
12.17125,76.61151,2026-09-19,854,5.45,n,333.49,294.97,N,VIIRS,D
13.367,75.90335,2026-09-19,854,3.99,n,331.76,290.68,N,VIIRS,D
14.10054,76.44862,2026-09-19,854,4.61,n,334.83,295.06,N,VIIRS,D
14.81415,76.36037,2026-09-19,854,6.72,n,339.11,296.77,N,VIIRS,D
14.81554,76.3573,2026-09-19,854,5.13,n,331.08,296.52,N,VIIRS,D
15.33132,75.15416,2026-09-19,854,4.86,n,341.35,294.16,N,VIIRS,D
21.09994,72.63522,2026-09-19,856,2.23,n,331.88,297.47,N,VIIRS,D
21.10412,72.63467,2026-09-19,856,2.23,n,340.84,297.51,N,VIIRS,D
21.10554,72.6468,2026-09-19,856,12.63,n,350.1,300.15,N,VIIRS,D
25.02102,68.22912,2026-09-19,858,3.33,l,338.4,310.07,N,VIIRS,D
25.105,68.05524,2026-09-19,858,2.58,l,339.24,310.43,N,VIIRS,D
25.94109,72.19331,2026-09-19,858,14.9,n,351.45,300.96,N,VIIRS,D
30.04756,71.87035,2026-09-19,858,4.29,n,338.31,299.94,N,VIIRS,D
31.21831,76.06273,2026-09-19,858,4.23,n,348.79,298.5,N,VIIRS,D
31.74733,75.04183,2026-09-19,858,2.34,n,329.33,298.21,N,VIIRS,D
33.29675,71.18625,2026-09-19,900,5.21,n,341.11,300.07,N,VIIRS,D
30.94856,97.36118,2026-09-19,1940,0.71,n,297.1,283.86,N,VIIRS,N
27.37895,95.33591,2026-09-19,1942,1.42,n,307.58,260.68,N,VIIRS,N
29.26378,91.92558,2026-09-19,1942,1.93,n,313.98,285.39,N,VIIRS,N
29.65742,90.90102,2026-09-19,1942,1.08,n,303.43,281.89,N,VIIRS,N
29.66036,90.90591,2026-09-19,1942,1.83,n,297.32,281.03,N,VIIRS,N
30.06908,96.97697,2026-09-19,1942,0.5,n,299.58,283.54,N,VIIRS,N
20.75848,85.29771,2026-09-19,1945,1.47,n,309.73,287.45,N,VIIRS,N
20.759,85.29333,2026-09-19,1945,1.47,n,306.38,287.26,N,VIIRS,N
20.78423,85.26575,2026-09-19,1945,1.58,n,313.1,287.45,N,VIIRS,N
20.78475,85.26138,2026-09-19,1945,1.58,n,315.06,288.21,N,VIIRS,N
20.79444,85.25397,2026-09-19,1945,6.19,n,338.33,288.87,N,VIIRS,N
20.80744,85.25566,2026-09-19,1945,2.9,n,321.02,289.5,N,VIIRS,N
20.86196,84.98734,2026-09-19,1945,0.95,n,311.98,288.0,N,VIIRS,N
20.86583,84.99248,2026-09-19,1945,3.08,n,306.79,288.38,N,VIIRS,N
20.86636,84.98807,2026-09-19,1945,1.21,n,308.13,288.59,N,VIIRS,N
20.88393,84.9828,2026-09-19,1945,1.71,n,321.32,289.1,N,VIIRS,N
20.88512,84.98122,2026-09-19,1945,2.25,n,326.2,288.85,N,VIIRS,N
20.88835,84.98338,2026-09-19,1945,1.71,n,308.27,288.67,N,VIIRS,N
